Date,sno,name,symbol,high,low,open,Close,volume,marketcap,Daily_Return,MA7,MA30,Volatility
2015-04-01 23:59:59,30,Tether,USDT,1.0,1.0,1.0,1.0,14.487000465393066,251600.0,0.0,1.0,0.9806156992912293,0.0
2015-04-02 23:59:59,31,Tether,USDT,1.0,1.0,1.0,1.0,79969.8984375,251600.0,0.0,1.0,0.9737577001253764,0.0
2015-04-03 23:59:59,32,Tether,USDT,1.0,1.0,1.0,1.0,8887.169921875,251600.0,0.0,1.0,0.9868743002414704,0.0
2015-04-04 23:59:59,33,Tether,USDT,1.0,1.0,1.0,1.0,2018.25,251600.0,0.0,1.0,1.0,0.0
2015-04-05 23:59:59,34,Tether,USDT,1.0,1.0,1.0,1.0,2887.050048828125,251600.0,0.0,1.0,1.0,0.0
2015-04-06 23:59:59,35,Tether,USDT,1.0,1.0,1.0,1.0,254.3000030517578,251600.0,0.0,1.0,1.0,0.0
2015-04-07 23:59:59,36,Tether,USDT,1.0,1.0,1.0,1.0,19179.0,251600.0,0.0,1.0,1.0,0.0
2015-04-08 23:59:59,37,Tether,USDT,1.0,1.0,1.0,1.0,1024.199951171875,251600.0,0.0,1.0,1.0,0.0
2015-04-09 23:59:59,38,Tether,USDT,1.0,1.0,1.0,1.0,100949.0,251600.0,0.0,1.0,1.0,0.0
2015-04-10 23:59:59,39,Tether,USDT,1.0,1.0,1.0,1.0,470.2340087890625,251600.0,0.0,1.0,1.0,0.0
2015-04-11 23:59:59,40,Tether,USDT,1.0,1.0,1.0,1.0,2868.800048828125,251600.0,0.0,1.0,1.0,0.0
2015-04-12 23:59:59,41,Tether,USDT,1.0,1.0,1.0,1.0,1970.7900390625,251600.0,0.0,1.0,1.0,0.0
2015-04-13 23:59:59,42,Tether,USDT,1.0,1.0,1.0,1.0,46026.0,251600.0,0.0,1.0,1.0,0.0
2015-04-14 23:59:59,43,Tether,USDT,1.0,1.0,1.0,1.0,50323.80078125,251600.0,0.0,1.0,1.0,0.0
2015-04-15 23:59:59,44,Tether,USDT,1.0,1.0,1.0,1.0,40700.19921875,251600.0,0.0,1.0,1.0,0.0
2015-04-16 23:59:59,45,Tether,USDT,1.0,1.0,1.0,1.0,46909.19921875,251600.0,0.0,1.0,1.0,0.0
2015-04-17 23:59:59,46,Tether,USDT,1.0,1.0,1.0,1.0,50.48160171508789,251600.0,0.0,1.0,1.0,0.0
2015-04-18 23:59:59,47,Tether,USDT,1.0,1.0,1.0,1.0,48.97309875488281,251600.0,0.0,1.0,1.0,0.0
2015-04-19 23:59:59,48,Tether,USDT,1.0,1.0,1.0,1.0,21.92639923095703,251600.0,0.0,1.0,1.0,0.0
2015-04-20 23:59:59,49,Tether,USDT,1.0,1.0,1.0,1.0,38.26399993896485,251600.0,0.0,1.0,1.0,0.0
2015-04-21 23:59:59,50,Tether,USDT,1.0,1.0,1.0,1.0,85932.703125,251600.0,0.0,1.0,1.0,0.0
2015-04-22 23:59:59,51,Tether,USDT,1.0,1.0,1.0,1.0,40305.6015625,251600.0,0.0,1.0,1.0,0.0
2015-04-23 23:59:59,52,Tether,USDT,1.0,1.0,1.0,1.0,21632.0,251600.0,0.0,1.0,1.0,0.0
2015-04-24 23:59:59,53,Tether,USDT,1.0,1.0,1.0,1.0,20261.80078125,251600.0,0.0,1.0,1.0,0.0
2015-04-25 23:59:59,54,Tether,USDT,1.0,1.0,1.0,1.0,26.462299346923828,251600.0,0.0,1.0,1.0,0.0
2015-04-26 23:59:59,55,Tether,USDT,1.0,1.0,1.0,1.0,555.43701171875,251600.0,0.0,1.0,1.0,0.0
2015-04-27 23:59:59,56,Tether,USDT,1.0,1.0,1.0,1.0,17806.19921875,251600.0,0.0,1.0,1.0,0.0
2015-04-28 23:59:59,57,Tether,USDT,1.0,1.0,1.0,1.0,42628.1015625,251600.0,0.0,1.0,1.0,0.0
2015-04-29 23:59:59,58,Tether,USDT,1.0,1.0,1.0,1.0,12.18630027770996,251600.0,0.0,1.0,1.0,0.0
2015-04-30 23:59:59,59,Tether,USDT,1.0,1.0,1.0,1.0,613.0689697265625,251600.0,0.0,1.0,1.0,0.0
2015-05-01 23:59:59,60,Tether,USDT,1.0,1.0,1.0,1.0,48.37969970703125,251600.0,0.0,1.0,1.0,0.0
2015-05-02 23:59:59,61,Tether,USDT,1.0,1.0,1.0,1.0,3.993489980697632,251600.0,0.0,1.0,1.0,0.0
2015-05-03 23:59:59,62,Tether,USDT,1.0,1.0,1.0,1.0,1517.8699951171875,251600.0,0.0,1.0,1.0,0.0
2015-05-04 23:59:59,63,Tether,USDT,1.0,1.0,1.0,1.0,83170.796875,251600.0,0.0,1.0,1.0,0.0
2015-05-05 23:59:59,64,Tether,USDT,1.0,1.0,1.0,1.0,21.428600311279297,251600.0,0.0,1.0,1.0,0.0
2015-05-06 23:59:59,65,Tether,USDT,1.0,1.0,1.0,1.0,10.18809986114502,251600.0,0.0,1.0,1.0,0.0
2015-05-07 23:59:59,66,Tether,USDT,1.0,1.0,1.0,1.0,120.47699737548828,251600.0,0.0,1.0,1.0,0.0
2015-05-08 23:59:59,67,Tether,USDT,1.0,1.0,1.0,1.0,545.5029907226562,251600.0,0.0,1.0,1.0,0.0
2015-05-09 23:59:59,68,Tether,USDT,1.0,1.0,1.0,1.0,170.76600646972656,251600.0,0.0,1.0,1.0,0.0
2015-05-10 23:59:59,69,Tether,USDT,1.0,1.0,1.0,1.0,2466.1298828125,251600.0,0.0,1.0,1.0,0.0
2015-05-11 23:59:59,70,Tether,USDT,1.0,1.0,1.0,1.0,583.8309936523438,251600.0,0.0,1.0,1.0,0.0
