Date,sno,name,symbol,high,low,open,Close,volume,marketcap,Daily_Return,MA7,MA30,Volatility
2020-11-03 23:59:59,30,Aave,AAVE,30.06291681,27.53711073,29.73152554,28.04280321,56775011.59564292,316455541.5979732,-0.056798985274201796,30.12133726428571,39.585852088,0.06096046843079413
2020-11-04 23:59:59,31,Aave,AAVE,28.4330692,26.08951824,28.04297069,27.71508436,50464690.5101932,313021334.56848735,-0.01168637983677523,29.45290889857143,38.735713468,0.058211748829338314
2020-11-05 23:59:59,32,Aave,AAVE,32.3030396,25.96615498,27.7150798,30.95562668,85212411.64251429,350205472.9254519,0.11692341534694872,29.71823642142857,38.35418107033333,0.0655963408926061
2020-11-06 23:59:59,33,Aave,AAVE,40.76907497,30.8551283,30.95511845,38.45744081,147304661.0003733,435876358.2493624,0.24234089031855444,30.75246754571429,38.29996324366667,0.10917892513094397
2020-11-07 23:59:59,34,Aave,AAVE,51.42799241,38.45744081,38.45744081,44.60489962,200580053.60534415,507707213.1975601,0.15985095941177363,32.88066495571429,38.32797779566667,0.11106361971853426
2020-11-08 23:59:59,35,Aave,AAVE,54.78636021,42.86425511,44.60489961,53.74937894,174706008.6468665,613014913.9174644,0.20501064676535652,36.17953674285714,38.55903228866667,0.12136281622526925
2020-11-09 23:59:59,36,Aave,AAVE,58.36411095,49.86012895,53.74937384,54.88649964,386011347.7491519,626843328.1215719,0.021155978402454867,39.77310475142857,38.75079168766667,0.1142773955647085
2020-11-10 23:59:59,37,Aave,AAVE,70.30982523,53.17903589,54.88650532,67.00111098,433793206.4967589,780700254.0603075,0.22072115036410822,45.33857729,39.32880452933333,0.09931512252267397
2020-11-11 23:59:59,38,Aave,AAVE,68.77859822,53.71675388,67.00111108,54.69964668,354136841.3455583,638025534.6074319,-0.1836009003443544,49.19351476428572,39.41083634466666,0.1502254609913707
2020-11-12 23:59:59,39,Aave,AAVE,59.61831483,50.52310167,54.69962256,51.63241804,244505561.5470832,603421827.5595561,-0.05607401192083905,52.14734210142857,39.427773052999996,0.1629296091529246
2020-11-13 23:59:59,40,Aave,AAVE,66.12366042,51.1791527,51.63243434,63.39907168,318852071.2420879,743396746.1819518,0.22789274813517912,55.710432225714285,39.830524845333336,0.16071100818821105
2020-11-14 23:59:59,41,Aave,AAVE,68.37704309,57.89727345,63.39907168,67.01611273,243698854.74567783,786814070.8942633,0.05705195603267876,58.912034098571425,40.59708917166667,0.15739316918286334
2020-11-15 23:59:59,42,Aave,AAVE,71.17455519,60.08891509,67.01611268,64.23729542,258275517.09982908,754769242.984942,-0.041464913388747804,60.41030788142857,41.421804210333335,0.1496136967243383
2020-11-16 23:59:59,43,Aave,AAVE,74.0423007,61.20922869,64.23729391,71.76639355,252527244.6746781,843863117.2246927,0.11720758292784317,62.82172129714286,42.43511755366667,0.15249878439599604
2020-11-17 23:59:59,44,Aave,AAVE,79.56212338,68.95632584,73.2530654,78.44328478,310951195.4893777,923384720.0462722,0.09303646037818769,64.45631755428572,43.69166132433333,0.13516106316890986
2020-11-18 23:59:59,45,Aave,AAVE,79.21050482,67.64859817,78.44275754,75.23227405,291394550.7946071,887327038.570436,-0.040934169687125155,67.38955003571428,44.998993213,0.1048369073015187
2020-11-19 23:59:59,46,Aave,AAVE,80.73120239,70.5034588,75.23277433,75.85718351,275294182.28090847,895838057.7896098,0.008306401313679324,70.85023081714286,46.45489874733333,0.09636361076678611
2020-11-20 23:59:59,47,Aave,AAVE,82.17322523,74.68948917,75.85718441,75.06539972,260578165.49533343,888309702.5449907,-0.010437822146344478,72.51684910857144,47.785066854,0.0638348473179489
2020-11-21 23:59:59,48,Aave,AAVE,76.89173349,67.79606731,75.06539968,70.42424685,237984829.20010588,833647262.7056857,-0.06182812437303831,73.00372541142858,48.86482006366667,0.069768614814182
2020-11-22 23:59:59,49,Aave,AAVE,74.6597895,63.29912732,70.4242469,68.42477869,209068686.3780854,811198457.4282078,-0.0283917578026609,73.60193730714286,49.756091441333325,0.06834919069673036
2020-11-23 23:59:59,50,Aave,AAVE,73.77057074,65.73764591,68.42478443,71.83861244,220212896.1199827,852034424.5073861,0.049891776274008315,73.61225429142857,50.835544451333334,0.05418186748511437
2020-11-24 23:59:59,51,Aave,AAVE,74.38013135,66.27866009,71.85567173,66.73867871,193004081.17873785,792032288.2378324,-0.07099154001978392,71.94016771,51.796675049,0.04204437347662973
2020-11-25 23:59:59,52,Aave,AAVE,67.45255654,59.55788547,66.71556336,61.80533895,154888752.21671736,733874939.2967753,-0.07392024917719564,70.02203412428571,52.65572228366667,0.04616007408337523
2020-11-26 23:59:59,53,Aave,AAVE,65.09772852,50.38421932,61.81669679,63.99345248,282502058.4653289,760506808.6507189,0.03540330927996638,68.32721540571428,53.62645300533333,0.05052168621485845
2020-11-27 23:59:59,54,Aave,AAVE,68.66542935,56.65032306,64.00578618,60.73871861,201844805.75607985,722139363.7789521,-0.05086041999401758,66.28054667571429,54.571274195,0.05116638352280332
2020-11-28 23:59:59,55,Aave,AAVE,66.20104081,58.979246,60.74922406,63.94728703,150605043.44521672,760508853.1865296,0.05282575091190256,65.35526670142858,55.732905962000004,0.056821927047053765
2020-11-29 23:59:59,56,Aave,AAVE,69.56144009,62.04129627,63.94875712,68.85312443,161791286.30746406,819035970.4519866,0.0767168964916134,65.41645895,56.98741601166667,0.06513765217710274
2020-11-30 23:59:59,57,Aave,AAVE,79.46509408,68.85644439,68.85644439,76.41953515,288079549.86705697,909941093.0031154,0.10989204604204206,66.07087648000001,58.54448325833333,0.07550212521481628
2020-12-01 23:59:59,58,Aave,AAVE,78.86189102,70.94403421,76.42472206,74.86836458,268968536.9296152,891921515.9888393,-0.020298089578211664,67.23226017571429,60.01818619666666,0.06839023398936894
2020-12-02 23:59:59,59,Aave,AAVE,89.93801025,72.4543506,74.8611544,86.32324982,410949897.5495344,1029525776.0385628,0.15300034005364127,70.73481887142857,61.90457707133334,0.07099206463410872
2020-12-03 23:59:59,60,Aave,AAVE,94.06976137,83.21397488,86.38082732,91.67564477,390370348.3556075,1093762156.9254584,0.06200409462295209,74.68941776999999,64.02567179,0.07073238314698109
2020-12-04 23:59:59,61,Aave,AAVE,92.73576711,80.18386018,91.68452862,81.6418197,344330864.1263516,974344644.041474,-0.10944919007849163,77.67557506857143,65.82322963466666,0.08692560823041338
2020-12-05 23:59:59,62,Aave,AAVE,91.92059987,79.94649654,81.58988912,91.92059987,321071928.23277366,1097810892.1516194,0.12590091950143045,81.67176261714287,67.85539540766666,0.09206417857073014
2020-12-06 23:59:59,63,Aave,AAVE,92.73346394,84.95069045,91.94666405,87.95642649,261643152.7839865,1051203168.980594,-0.04312606081342374,84.40080576857143,69.505361597,0.09865543528273779
2020-12-07 23:59:59,64,Aave,AAVE,94.70016225,86.90958728,87.95654066,90.9602979,299145687.7401658,1087477655.8333125,0.03415181277676771,86.47805759,71.05054153966667,0.09370364393979791
2020-12-08 23:59:59,65,Aave,AAVE,91.09876956,78.20985346,90.95032482,79.94619074,376267574.7847037,956117556.491354,-0.12108697326506879,87.20346132714288,71.92376859966666,0.10901325008192843
2020-12-09 23:59:59,66,Aave,AAVE,86.12544951,75.09706845,79.92281871,82.11372218,357447823.9545926,982942929.9949716,0.027112379213278803,86.60210023571429,72.83134268433334,0.09129833240099576
2020-12-10 23:59:59,67,Aave,AAVE,83.05117464,75.8590325,82.18282288,76.64575648,299977126.99674493,917596922.5460534,-0.06659015758674003,84.45497333714286,73.15283086766667,0.08882548110761461
