Date,sno,name,symbol,high,low,open,Close,volume,marketcap,Daily_Return,MA7,MA30,Volatility
2020-10-17 23:59:59,30,Uniswap,UNI,3.08567533,2.96052754,3.03737341,3.0006826,274343380.146428,560759317.8628457,-0.011299573340359359,3.1670569885714284,3.982472663239,0.0647840534659579
2020-10-18 23:59:59,31,Uniswap,UNI,3.27679891,2.98276067,2.99508022,3.26685888,270238696.62769705,658804132.0498519,0.08870524326698193,3.149859635714286,3.8614593985106667,0.07516578393108049
2020-10-19 23:59:59,32,Uniswap,UNI,3.28186631,3.12873845,3.27467548,3.17766422,353126948.0164669,642198931.2594732,-0.027302881231282328,3.1380600442857145,3.776566066485333,0.07447554366168083
2020-10-20 23:59:59,33,Uniswap,UNI,3.18129683,2.82147395,3.17358289,2.86980023,542347476.0741956,595506496.7879803,-0.09688373871044187,3.0484220971428573,3.697419557839333,0.07399543178096098
2020-10-21 23:59:59,34,Uniswap,UNI,3.06571378,2.85083113,2.86189747,2.94137384,641102099.6216476,610958556.284688,0.0249402760693207,3.0283292928571433,3.6532627338449997,0.0629095679813075
2020-10-22 23:59:59,35,Uniswap,UNI,3.13980626,2.93028557,2.94084829,3.03945049,490414766.6593528,631330250.4628034,0.03334382344272169,3.0472581142857145,3.624406488,0.059667103632049294
2020-10-23 23:59:59,36,Uniswap,UNI,3.12028148,2.9744434,3.04407276,3.01219005,340365373.12678003,629314884.2756435,-0.0089688712119802,3.044002901428571,3.569703993,0.0576506111044401
2020-10-24 23:59:59,37,Uniswap,UNI,3.08329223,2.93770967,3.01219006,2.943257,228726426.04521856,616104225.8426412,-0.022884694808682493,3.0357992442857147,3.496570357666667,0.058204813138775194
2020-10-25 23:59:59,38,Uniswap,UNI,2.96679659,2.7299389,2.943257,2.77574688,280177012.5004011,582448679.857583,-0.056913181553632675,2.9656403871428574,3.4219968703333334,0.04526124619620044
2020-10-26 23:59:59,39,Uniswap,UNI,2.86815301,2.5507011,2.77574703,2.72590258,402513710.1500299,572875510.6687803,-0.017957076835478536,2.90110301,3.352664261333333,0.045219863810640124
2020-10-27 23:59:59,40,Uniswap,UNI,2.90054865,2.71078781,2.72590256,2.82239855,374717068.8986912,595071764.8665643,0.03539963999740592,2.8943313414285714,3.2873809153333338,0.034468312068276864
2020-10-28 23:59:59,41,Uniswap,UNI,2.85034013,2.59936174,2.82239888,2.67611603,382606651.5706099,564790634.9580132,-0.05182915077673911,2.856437368571428,3.236985479,0.036662135150708035
2020-10-29 23:59:59,42,Uniswap,UNI,2.73456913,2.49409014,2.67611619,2.54161629,452924613.8820874,537048830.213098,-0.0502593080764141,2.785318197142857,3.174460025666667,0.03249389188811806
2020-10-30 23:59:59,43,Uniswap,UNI,2.55472877,2.26524486,2.54161714,2.41416755,407724693.280509,511147587.4136733,-0.05014476044296978,2.699886411428572,3.1211651183333333,0.032880710595934316
2020-10-31 23:59:59,44,Uniswap,UNI,2.41416755,2.25159656,2.41416755,2.26642787,195366722.87350935,480662058.457911,-0.06119694550612298,2.603196535714286,3.054717219,0.034519441640346024
