,LR_RMSE,RF_RMSE,LR_MAE,RF_MAE
coin_USDCoin,0.0009683494597815713,0.0008325605300128381,0.0007187527474027622,0.00043509188389334824
coin_Tether,0.0019587214524607334,0.002151200989575208,0.001093133136030204,0.0012753887698134937
coin_Tron,0.008426392652666915,0.01667746932457007,0.005341101199056961,0.008928081104843858
coin_CryptocomCoin,0.013428775773494968,0.030441849133257506,0.0095345234493371,0.02090131147310949
coin_Stellar,0.028244143531562068,0.03361939425183719,0.01467843984629578,0.019352846464845638
coin_NEM,0.03238181029207136,0.04351620094241073,0.017035304765379813,0.020580837561823443
coin_Dogecoin,0.02675927137553133,0.13914069300234322,0.00812276592463739,0.05785879481934434
coin_XRP,0.06950116361856738,0.14389311922533934,0.03425218520309979,0.05639615085507895
coin_Iota,0.11990172229192247,0.16573952450796184,0.07217393234502978,0.10071610181419689
coin_Cardano,0.10638887754370183,0.5287943093362132,0.06725698137861248,0.36701928342876516
coin_EOS,0.6629753700203646,0.7239284908378895,0.36734263226984304,0.42059977024522427
coin_Polkadot,4.517629967816733,8.747394655793032,2.8014736526456216,8.080037818694917
coin_Uniswap,3.849052677466819,8.867184759868284,2.602319734435164,7.628948155641515
coin_Cosmos,2.0654299807570418,11.43649833064509,1.5830878099070702,10.133367711146983
coin_Solana,4.462910644643016,11.59007637076974,3.330858123664791,9.784104943757654
coin_ChainLink,2.520216435905337,14.094451795209928,1.7127559316170353,10.458999252295076
coin_Monero,14.352564159779911,17.42431697532603,8.059775434656299,10.291957049591511
coin_Litecoin,12.243089119022358,17.606540793156395,6.745782418278803,8.582668853324355
coin_Aave,65.53951889713709,92.51636473374523,45.461870495078365,79.88106699834394
coin_BinanceCoin,29.882590734489437,260.1768567808147,16.428709534263607,175.18461852502844
coin_Ethereum,129.84329234057344,789.9557123159013,69.6286997408642,443.627600912427
coin_WrappedBitcoin,2824.6489105408637,13253.252317407969,2227.253089093391,10597.184559794214
coin_Bitcoin,1601.9598975320505,16949.40987096736,937.5277046958981,9605.098987615716
